1580,75,3.5,4,3.2,300,260,3.50185414478038
1600,100,1.747,4,2.8,360,620,3.54580201226562
1500,0,1.747,3.4,1.8,200,700,2.59213459856224
1500,10,1.444,3.7,1.3,280,320,2.41199484040775
1560,0,1.81,3.9,2.8,140,620,2.94784579603242
1560,15,3,3.1,1.7,240,580,2.90285018523876
1560,5,1.37,3.4,2.2,480,320,2.63436283856157
1520,75,1.81,2.2,1.4,480,520,1.78511669794625
1580,0,1.426,3.2,2.4,240,400,2.44008423530645
1580,15,1.747,2.5,1.8,360,280,1.81808302519537
1520,20,2.456,2.7,1.7,360,140,2.3316376978714
1500,75,3,3.2,1.5,340,560,2.92925710556903
1500,10,1.426,4,1.5,440,580,3.56357849360179
1580,100,1.747,3,2.3,240,640,2.43869787376169
1500,0,1.37,3.7,2.1,460,680,3.33735462428706
1580,15,1.426,3.8,1.4,200,680,2.86550947075661
1520,20,2.456,3.7,2.3,380,220,2.64695956829892
1600,15,3.5,3.7,2.7,180,360,3.40899393182422
1520,100,1.444,2.4,1.3,340,140,1.53959219476329
1520,100,1.747,3,1.7,240,240,2.09482177487968
1580,10,1.81,3.5,1.7,400,320,2.45351427881017
1500,0,2.456,4,2.9,320,580,3.53202238879664
1580,75,1.37,2.6,1.8,420,660,2.14168369435764
1520,100,2.456,3.5,2.4,220,260,2.74913267265982
1520,20,1.426,3.1,1.6,260,400,2.09380898442689
1600,5,1.426,3.2,1.9,280,560,2.44911591570133
1560,75,2.456,3,1.4,200,500,2.40056040925299
1600,0,1.444,2.7,1.6,140,740,1.71639179100044
1560,0,1.81,2.3,1.5,360,460,1.74325165257094
1520,20,1.747,3.7,2.6,200,660,2.9774807452233
1500,75,1.81,3.7,1.8,480,420,3.12747252020934
1560,10,3,3.9,2.6,480,700,3.58863114359675
1600,75,1.747,3.6,1.4,200,520,2.60351667892501
1520,0,1.37,2.8,1.4,280,380,1.71422421370282
1540,100,3,3.6,2.2,200,160,2.96713799627277
1580,100,1.747,3.9,3.1,280,520,3.36803194429357
1560,75,3,3.9,1.4,200,700,3.21338714054449
1580,75,1.426,4,1.5,300,460,3.22366549008802
1600,75,3.5,3.7,1.8,160,500,3.41787500656904
1600,50,1.426,3.6,1.9,320,380,2.69769652742185
1600,15,1.426,2.6,1.9,360,760,2.13300209453098
1540,75,1.81,3.9,3.2,140,420,3.17827378953014
1540,5,1.444,2.9,2.2,380,440,2.35138584717672
1580,10,3,3.7,3,320,380,3.18462385112825
1540,100,1.81,2.9,1.6,360,620,2.3763046142439
1500,50,1.747,3.7,2.7,480,400,3.21958184632635
1560,15,1.426,3.7,1.7,340,760,3.19914271874883
1580,75,1.37,2.8,1.5,160,160,1.63570788871942
1520,10,1.81,3.9,2.7,140,740,2.97190349723428
1520,20,1.444,2.9,2.1,460,340,2.27809564787396
1520,5,1.426,3,1.4,420,580,2.44325906586625
1600,100,1.426,2.5,1.3,180,420,1.6159316461339
1560,15,1.747,2.2,1.4,480,260,1.61321438184371
1540,5,1.747,3.9,1.5,200,500,2.86258666894219
1520,0,3,3.7,2.4,160,220,2.90299156263725
1540,15,1.426,3.1,1.9,440,420,2.44394822408752
1520,10,1.37,3.3,1.5,380,580,2.7312306924021
1500,5,1.81,3.7,2,320,140,2.02200004422513
1500,10,1.37,3.8,2.9,420,180,2.97044176551011
1600,0,1.444,3,2,400,380,2.25994709584323
1520,75,1.426,3.2,1.9,400,640,2.73807634010519
1580,10,1.37,4,2.4,420,540,3.51554114464155
1520,5,1.37,3.9,1.3,260,220,1.67385337910266
1600,5,1.81,3.5,2.6,480,420,2.98748770397899
1540,75,1.37,3.2,2.4,280,240,2.43379084271213
1520,100,1.37,3.6,1.9,200,280,2.54177616960162
1600,5,2.456,3.9,3,180,280,2.99400152640099
1520,20,1.37,3.9,2,480,680,3.54971526236017
1580,50,1.81,3.3,1.7,400,360,2.44257009622838
1500,10,1.426,4,2.2,160,280,2.4664908739397
1600,5,2.456,4,1.8,480,360,3.2161029932738
1600,5,1.81,2.9,1.3,300,680,2.22486728836977
1500,100,1.81,3.1,1.9,340,320,2.36568058627126
1540,75,1.444,3.8,2.5,480,200,2.83701484486425
1500,10,1.37,3.4,1.8,500,200,2.02594183016189
1500,0,1.426,2.5,1.4,420,600,1.9536931143254
1500,15,1.444,3.3,1.4,440,760,2.90733678360775
1520,10,1.444,3.8,2.8,320,720,3.35228240861349
1560,5,1.444,3.7,2.6,360,220,2.72380453260469
1560,0,1.426,3.7,1.5,340,380,2.73841883735269
1560,50,1.426,3.3,1.4,400,280,2.06275501713381
1580,50,1.81,3.5,2.4,240,340,2.61794598227627
1540,0,1.81,3.3,2.1,380,600,2.80286243135022
1540,5,1.81,2.4,1.5,200,360,1.69906843271003
1560,50,1.747,3.7,2.2,380,660,3.24406532580881
1560,20,1.81,2.6,1.7,160,540,1.82964831922536
1500,5,1.37,4,2.4,180,680,3.14118133061051
1540,0,1.37,3.8,2,400,280,2.70995207905784
1520,75,1.37,4,2.7,380,480,3.50143875347296
1560,20,1.426,2.5,1.8,300,160,1.71491559154956
1520,5,1.444,4,2.7,480,700,3.68730473823751
1520,100,1.444,3.7,2.2,220,240,2.68782489084262
1580,50,1.426,2.9,2.2,440,200,2.19345687792792
1560,10,1.747,2.7,1.7,380,700,2.21359736819774
1600,15,1.37,3.4,2.6,500,160,2.59821449996751
1520,0,1.444,2.6,1.3,500,160,1.3300583571667
1520,50,3,3.9,2.4,140,480,3.06234572214182
1560,10,1.37,3.8,1.5,480,460,3.20540141809298
1520,5,1.426,3.9,2.3,260,620,3.24989139370753
1540,20,1.37,3.4,2.1,500,480,2.89762095427401
1560,15,1.444,3.3,1.6,320,360,2.25208705371592
1560,50,3.5,3.7,2.2,280,180,3.40903002095556
1540,50,1.747,3.1,1.9,320,480,2.42880792544713
1560,75,1.426,3.7,2.8,420,220,2.95495051849627
1600,50,1.747,2.8,2,380,480,2.23768278963773
1580,75,1.444,2.8,1.6,460,760,2.38157598076465
1600,50,3,3.9,2,160,600,3.08067465024658
1560,75,1.426,3.5,2.8,200,140,2.74325122969461
1580,10,1.444,3.3,2.1,440,600,2.83259556376788
1500,75,1.444,2.8,1.7,500,760,2.44740226982531
1540,5,1.37,3.2,1.5,180,280,1.57524988275415
1560,10,1.444,2.6,1.5,380,660,2.04420957197597
1540,100,1.81,4,2.1,140,400,2.88157305112943
