1580,75,3.5,4,3.2,300,260,3.48854442267238
1600,100,1.747,4,2.8,360,620,3.41027653511002
1500,0,1.747,3.4,1.8,200,700,2.08222300620117
1500,10,1.444,3.7,1.3,280,320,2.26020286533192
1560,0,1.81,3.9,2.8,140,620,2.74550498651323
1560,15,3,3.1,1.7,240,580,2.89536375088304
1560,5,1.37,3.4,2.2,480,320,2.71057617100031
1520,75,1.81,2.2,1.4,480,520,1.7834016571058
1580,0,1.426,3.2,2.4,240,400,2.35063752827858
1580,15,1.747,2.5,1.8,360,280,1.82217562930868
1520,20,2.456,2.7,1.7,360,140,2.32097599638006
1500,75,3,3.2,1.5,340,560,2.92274414632994
1500,10,1.426,4,1.5,440,580,3.49298220286242
1580,100,1.747,3,2.3,240,640,2.30202704111262
1500,0,1.37,3.7,2.1,460,680,3.26041719105572
1580,15,1.426,3.8,1.4,200,680,2.16674794826556
1520,20,2.456,3.7,2.3,380,220,2.79820779999255
1600,15,3.5,3.7,2.7,180,360,3.40373468404495
1520,100,1.444,2.4,1.3,340,140,1.405335937963
1520,100,1.747,3,1.7,240,240,1.92197504059857
1580,10,1.81,3.5,1.7,400,320,2.58723044945773
1500,0,2.456,4,2.9,320,580,3.42675986035449
1580,75,1.37,2.6,1.8,420,660,2.0283863781449
1520,100,2.456,3.5,2.4,220,260,2.60066750241922
1520,20,1.426,3.1,1.6,260,400,1.81644225955229
1600,5,1.426,3.2,1.9,280,560,2.1424730684382
1560,75,2.456,3,1.4,200,500,2.35991392566956
1600,0,1.444,2.7,1.6,140,740,1.53355016910447
1560,0,1.81,2.3,1.5,360,460,1.74752453910657
1520,20,1.747,3.7,2.6,200,660,2.68427429121083
1500,75,1.81,3.7,1.8,480,420,3.14998745243432
1560,10,3,3.9,2.6,480,700,3.55996113083939
1600,75,1.747,3.6,1.4,200,520,2.10420978444369
1520,0,1.37,2.8,1.4,280,380,1.56714340164517
1540,100,3,3.6,2.2,200,160,2.92563920674167
1580,100,1.747,3.9,3.1,280,520,3.22386511387811
1560,75,3,3.9,1.4,200,700,3.00617804451025
1580,75,1.426,4,1.5,300,460,2.89957042379613
1600,75,3.5,3.7,1.8,160,500,3.40770990137168
1600,50,1.426,3.6,1.9,320,380,2.52173201078004
1600,15,1.426,2.6,1.9,360,760,2.00542959014687
1540,75,1.81,3.9,3.2,140,420,3.1268401573209
1540,5,1.444,2.9,2.2,380,440,2.29116934009334
1580,10,3,3.7,3,320,380,3.17106829482162
1540,100,1.81,2.9,1.6,360,620,2.21366373883255
1500,50,1.747,3.7,2.7,480,400,3.21783113583224
1560,15,1.426,3.7,1.7,340,760,2.93298960147493
1580,75,1.37,2.8,1.5,160,160,1.46671611314816
1520,10,1.81,3.9,2.7,140,740,2.68322551088802
1520,20,1.444,2.9,2.1,460,340,2.28423599984585
1520,5,1.426,3,1.4,420,580,2.32613757361926
1600,100,1.426,2.5,1.3,180,420,1.43630654894598
1560,15,1.747,2.2,1.4,480,260,1.62973561658725
1540,5,1.747,3.9,1.5,200,500,2.10320499977148
1520,0,3,3.7,2.4,160,220,2.8991480827123
1540,15,1.426,3.1,1.9,440,420,2.42784989598402
1520,10,1.37,3.3,1.5,380,580,2.56023542641851
1500,5,1.81,3.7,2,320,140,2.21731884524434
1500,10,1.37,3.8,2.9,420,180,3.01321924187935
1600,0,1.444,3,2,400,380,2.22883666920966
1520,75,1.426,3.2,1.9,400,640,2.59807632357878
1580,10,1.37,4,2.4,420,540,3.43583593050095
